arm,x_Ez_m,z_Ez_m,Ez_real,Ez_imag,x_Hy_m,z_Hy_m,Hy_real,Hy_imag
baseline,0.059000000000000004,0.0032500000000000003,-5.320591e-12,2.2739892e-12,0.059250000000000004,0.00275,1.3979518e-14,-7.0418643e-15
baseline,0.059500000000000004,0.0032500000000000003,-5.106714e-12,2.7216556e-12,0.059750000000000004,0.00275,1.3347166e-14,-8.163329e-15
baseline,0.06,0.0032500000000000003,-4.856875e-12,3.1500171e-12,0.06025,0.00275,1.2620753e-14,-9.226918e-15
baseline,0.0605,0.0032500000000000003,-4.5728373e-12,3.5560636e-12,0.06075,0.00275,1.1805614e-14,-1.022522e-14
baseline,0.061,0.0032500000000000003,-4.256671e-12,3.936954e-12,0.06125,0.00275,1.09073525e-14,-1.1151133e-14
baseline,0.0615,0.0032500000000000003,-3.9105303e-12,4.289962e-12,0.06175,0.00275,9.932484e-15,-1.1998159e-14
baseline,0.062,0.0032500000000000003,-3.5369346e-12,4.6126865e-12,0.06225,0.00275,8.8877626e-15,-1.2760362e-14
baseline,0.0625,0.0032500000000000003,-3.1384758e-12,4.902761e-12,0.06275,0.00275,7.78067e-15,-1.343239e-14
baseline,0.063,0.0032500000000000003,-2.7180111e-12,5.158241e-12,0.06325,0.00275,6.6189547e-15,-1.4009481e-14
baseline,0.0635,0.0032500000000000003,-2.2784754e-12,5.3772893e-12,0.06375,0.00275,5.410915e-15,-1.448774e-14
baseline,0.064,0.0032500000000000003,-1.8230055e-12,5.5583927e-12,0.06425,0.00275,4.16495e-15,-1.4863566e-14
baseline,0.0645,0.0032500000000000003,-1.3547694e-12,5.7002493e-12,0.06475,0.00275,2.8899824e-15,-1.5134614e-14
baseline,0.065,0.0032500000000000003,-8.7713143e-13,5.8019076e-12,0.06525,0.00275,1.594881e-15,-1.5298848e-14
baseline,0.0655,0.0032500000000000003,-3.934037e-13,5.8626324e-12,0.06575,0.00275,2.889193e-16,-1.5355025e-14
baseline,0.066,0.0032500000000000003,9.2952643e-14,5.882034e-12,0.06625,0.00275,-1.018822e-15,-1.530308e-14
baseline,0.0665,0.0032500000000000003,5.78554e-13,5.859946e-12,0.06675,0.00275,-2.3190248e-15,-1.5143167e-14
baseline,0.067,0.0032500000000000003,1.059935e-12,5.796595e-12,0.06725,0.00275,-3.6026026e-15,-1.4876455e-14
baseline,0.0675,0.0032500000000000003,1.5337396e-12,5.6923606e-12,0.06775,0.00275,-4.8604394e-15,-1.4505004e-14
baseline,0.068,0.0032500000000000003,1.99659e-12,5.548069e-12,0.06825,0.00275,-6.0837485e-15,-1.4031326e-14
baseline,0.0685,0.0032500000000000003,2.4452803e-12,5.3646913e-12,0.06875,0.00275,-7.263845e-15,-1.3458802e-14
baseline,0.069,0.0032500000000000003,2.8765926e-12,5.1435622e-12,0.06925,0.00275,-8.392467e-15,-1.2791508e-14
baseline,0.0695,0.0032500000000000003,3.2875436e-12,4.8862264e-12,0.06975,0.00275,-9.461638e-15,-1.2034195e-14
baseline,0.07,0.0032500000000000003,3.6751865e-12,4.5945084e-12,0.07025,0.00275,-1.0463884e-14,-1.1192165e-14
baseline,0.07050000000000001,0.0032500000000000003,4.036869e-12,4.2704733e-12,0.07075000000000001,0.00275,-1.13921036e-14,-1.0271448e-14
baseline,0.07100000000000001,0.0032500000000000003,4.3699697e-12,3.916452e-12,0.07125000000000001,0.00275,-1.2239831e-14,-9.278505e-15
baseline,0.07150000000000001,0.0032500000000000003,4.672195e-12,3.534902e-12,0.07175000000000001,0.00275,-1.3001067e-14,-8.220393e-15
baseline,0.07200000000000001,0.0032500000000000003,4.9413923e-12,3.1285209e-12,0.07225000000000001,0.00275,-1.3670453e-14,-7.1045206e-15
baseline,0.0725,0.0032500000000000003,5.1757184e-12,2.7002164e-12,0.07275,0.00275,-1.424328e-14,-5.9388195e-15
baseline,0.073,0.0032500000000000003,5.3734742e-12,2.252964e-12,0.07325,0.00275,-1.4715624e-14,-4.731535e-15
baseline,0.0735,0.0032500000000000003,5.533332e-12,1.7899517e-12,0.07375,0.00275,-1.5084095e-14,-3.4911395e-15
baseline,0.074,0.0032500000000000003,5.6541503e-12,1.3144428e-12,0.07425,0.00275,-1.5346204e-14,-2.2264147e-15
baseline,0.0745,0.0032500000000000003,5.735056e-12,8.297898e-13,0.07475,0.00275,-1.5500003e-14,-9.462613e-16
baseline,0.075,0.0032500000000000003,5.775539e-12,3.3940236e-13,0.07525,0.00275,-1.554452e-14,3.4026086e-16
baseline,0.0755,0.0032500000000000003,5.7752874e-12,-1.5324828e-13,0.07575,0.00275,-1.5479475e-14,1.6241071e-15
baseline,0.076,0.0032500000000000003,5.73432e-12,-6.446998e-13,0.07625,0.00275,-1.5305311e-14,2.8962252e-15
baseline,0.0765,0.0032500000000000003,5.652961e-12,-1.1314873e-12,0.07675,0.00275,-1.5023352e-14,4.147665e-15
baseline,0.077,0.0032500000000000003,5.53177e-12,-1.6101754e-12,0.07725,0.00275,-1.4635535e-14,5.369584e-15
baseline,0.0775,0.0032500000000000003,5.3716e-12,-2.0774005e-12,0.07775,0.00275,-1.4144592e-14,6.553375e-15
baseline,0.078,0.0032500000000000003,5.1736332e-12,-2.5298771e-12,0.07825,0.00275,-1.35540705e-14,7.690728e-15
baseline,0.0785,0.0032500000000000003,4.9392313e-12,-2.9643978e-12,0.07875,0.00275,-1.28681525e-14,8.773603e-15
