tag,theta_deg,refine,plane,frequency_Hz,native_s_params,diagnostic_magnitude,diagnostic_phase_deg,analytic_reported_angle_magnitude,analytic_reported_angle_phase_deg,analytic_normal_magnitude,analytic_normal_phase_deg,magnitude_error_db_at_angle,magnitude_error_db_at_normal,phase_error_deg_at_angle,phase_error_deg_at_normal
full_theta15_r1,15.0,1,ahead_plane,5000000000.0,None,0.6481690406799316,6.971133232116699,0.61648625308113,6.729214309720247,0.5999999999999999,9.823393017948828e-15,0.4352977330028054,0.6707406609942299,0.24191855073996557,6.9711328604602025
full_theta15_r1,15.0,1,ahead_plane,5125000000.0,None,0.6258894205093384,-0.5347340106964111,0.616393054860045,0.6258197693406815,0.5997038266394055,-6.300333107345021,0.13279747939234732,0.3712158130091719,-1.1605537768005774,5.765599099885126
full_theta15_r1,15.0,1,ahead_plane,5250000000.0,None,0.5996300578117371,-7.602201461791992,0.6157197113349425,-5.478912942376882,0.598814284027931,-12.602665053323712,-0.2299932476101766,0.011824866458571856,-2.1232882202755263,5.000463890671304
full_theta15_r1,15.0,1,ahead_plane,5375000000.0,None,0.5698594450950623,-14.369543075561523,0.6144637536411188,-11.587010002288205,0.5973283062115686,-18.908995625117544,-0.6545703739942638,-0.40890689482679826,-2.782531065147943,4.5394545576814
full_theta15_r1,15.0,1,ahead_plane,5500000000.0,None,0.5379713177680969,-20.194826126098633,0.6126205873923625,-17.700500335587964,0.5952407889492942,-25.221326393283487,-1.1286493148054897,-0.8786712400547813,-2.494325912619264,5.026500145076255
full_theta15_r1,15.0,1,ahead_plane,5625000000.0,None,0.5085340738296509,-25.472057342529297,0.6101834956672684,-23.82141706054622,0.5925445990533488,-31.541661317079782,-1.5828079778495485,-1.3280197248503411,-1.6506395494437718,6.0696047070897885
full_theta15_r1,15.0,1,ahead_plane,5750000000.0,None,0.4813230037689209,-29.374191284179688,0.6071436446638488,-29.951798636719335,0.5892305891148854,-37.87200700043246,-2.0170967007628136,-1.756973325053732,0.577609117788296,8.497817481501421
full_theta15_r1,15.0,1,ahead_plane,5875000000.0,None,0.46597820520401,-32.9677619934082,0.6034900935071134,-36.093689596181285,0.5852876192998607,-44.21437247270354,-2.246090822348463,-1.9800746642651834,3.1259318664076665,11.246614742929916
full_theta15_r1,15.0,1,ahead_plane,6000000000.0,None,0.4556173086166382,-35.69568634033203,0.5992098102171672,-42.24914072894925,0.5807025884298929,-50.57076836070993,-2.379574013788065,-2.107070951404784,6.553454744356928,14.875082376117607
full_theta30_r1,30.0,1,source_plane,4000000000.0,None,0.5599286556243896,-4.604837894439697,0.6427192321630447,8.342084460775004,0.5807025884298926,-21.429231639289984,-1.1977720295299734,-0.3164213558674237,-12.946922365766069,16.824393734298916
full_theta30_r1,30.0,1,source_plane,4125000000.0,None,0.5817626714706421,-16.131515502929688,0.6477057150232554,0.7905543661615687,0.5852876192998608,-30.035627527296356,-0.9326375511947342,-0.052469719894605846,-16.92206890804551,13.90411298541242
full_theta30_r1,30.0,1,source_plane,4250000000.0,None,0.6002412438392639,-27.851715087890625,0.6520752732719194,-6.7432739074359,0.5892305891148852,-38.62799299956749,-0.7194379729682137,0.16081097662664715,-21.108439879525168,10.776279212606417
full_theta30_r1,30.0,1,source_plane,4375000000.0,None,0.6133944988250732,-39.70639419555664,0.6558464413958536,-14.261595755682535,0.592544599053349,-47.20833868292012,-0.5812457936960005,0.30037665554865167,-25.444797587095824,7.501945340141769
full_theta30_r1,30.0,1,source_plane,4500000000.0,None,0.6233474016189575,-51.37687301635742,0.6590353162039129,-21.7665833945576,0.5952407889492943,-55.77867360671647,-0.4835706916170447,0.40074939698734047,-29.610287903356063,4.401802308802797
full_theta30_r1,30.0,1,source_plane,4625000000.0,None,0.6284388303756714,-63.05758285522461,0.6616555765328309,-29.260387593763795,0.5973283062115685,-64.34100437488237,-0.4473793097969272,0.440998321287843,-33.79719813934058,1.2834186417779951
full_theta30_r1,30.0,1,source_plane,4750000000.0,None,0.6301688551902771,-74.27816772460938,0.663718505332439,-36.745140083424694,0.5988142840279309,-72.89733494667621,-0.4505398250844938,0.4432956771703766,-37.533025058728384,-1.3808301954768685
full_theta30_r1,30.0,1,source_plane,4875000000.0,None,0.6280590295791626,-85.47042083740234,0.6652330114649637,-44.22295649519677,0.5997038266394056,-81.44966689265497,-0.4994665729562587,0.4012728759484816,-41.24745936642535,-4.020748968967143
full_theta30_r1,30.0,1,source_plane,5000000000.0,None,0.6214605569839478,-95.968994140625,0.666205649148934,-51.695939715656294,0.5999999999999999,-89.99999999999999,-0.6038948213714354,0.3052463911302314,-44.27304871263646,-5.968988428292772
full_theta30_r1,30.0,1,source_plane,5125000000.0,None,0.6127415895462036,-106.38473510742188,0.6666406334964796,-59.166183543316684,0.5997038266394056,-98.55033310734501,-0.7322884530914082,0.18681077673752491,-47.218542768145305,-7.834393204116976
full_theta30_r1,30.0,1,source_plane,5250000000.0,None,0.5976302027702332,-115.8639144897461,0.6665398510495572,-66.63577655091648,0.598814284027931,-107.10266505332372,-0.9478716511562936,-0.017192276947461525,-49.22813044299319,-8.761241940585961
full_theta30_r1,30.0,1,source_plane,5375000000.0,None,0.5836756229400635,-125.0738754272461,0.6659028646322515,-74.10680606175534,0.5973283062115684,-115.65899562511754,-1.1447865536941926,-0.20083080202491416,-50.967059688884845,-9.414870125522654
full_theta30_r1,30.0,1,source_plane,5500000000.0,None,0.5619661808013916,-133.0751495361328,0.6647269122188432,-81.58136215288002,0.5952407889492942,-124.22132639328346,-1.458661631511813,-0.4996500636917819,-51.49376725456464,-8.853803014161203
full_theta30_r1,30.0,1,source_plane,5625000000.0,None,0.5479874014854431,-140.44871520996094,0.6630068998869421,-89.06154159888,0.5925445990533489,-132.79166131707973,-1.6549494834050151,-0.679009400212852,-51.387172310886,-7.657052592686245
full_theta30_r1,30.0,1,source_plane,5750000000.0,None,0.5273536443710327,-146.53916931152344,0.660735389297581,-96.54945166794286,0.5892305891148854,-141.37200700043243,-1.9585123364305266,-0.9636666588939037,-49.98971422058408,-5.167158888094505
full_theta30_r1,30.0,1,source_plane,5875000000.0,None,0.5249431729316711,-151.83079528808594,0.6579025805357736,-104.04721367662546,0.5852876192998607,-149.96437247270353,-1.9609859584001081,-0.9451409110915571,-47.783565828538826,-1.8664070324607556
full_theta30_r1,30.0,1,source_plane,6000000000.0,None,0.5171478986740112,-156.6776123046875,0.6544962915717015,-111.55696620148566,0.5807025884298928,-158.5707683607099,-2.0458485158147273,-1.006779950214324,-45.1206435803919,1.8931585788323246
full_theta30_r1,30.0,1,ahead_plane,4000000000.0,None,0.6201936602592468,74.82117462158203,0.6427192321630446,70.69591353325457,0.5807025884298928,50.57076836071002,-0.30987946137291106,0.5714712122896347,4.125260516943485,24.250405689488037
full_theta30_r1,30.0,1,ahead_plane,4125000000.0,None,0.6387414336204529,67.16053771972656,0.6477057150232554,65.09294059715613,0.5852876192998607,44.21437247270363,-0.12105280705063672,0.7591150242494932,2.0675955016661516,22.946163626118654
full_theta30_r1,30.0,1,ahead_plane,4250000000.0,None,0.6517374515533447,59.066383361816406,0.6520752732719193,59.50766948207368,0.5892305891148852,37.87200700043252,-0.004501079295628285,0.8757478702992316,-0.4412866376824713,21.19437584395869
full_theta30_r1,30.0,1,ahead_plane,4375000000.0,None,0.6590790748596191,50.816619873046875,0.6558464413958535,53.93790479234201,0.592544599053349,31.54166131707984,0.04270714002623863,0.9243295892708905,-3.1212888887824852,19.27495458647969
full_theta30_r1,30.0,1,ahead_plane,4500000000.0,None,0.6611790657043457,42.31382751464844,0.6590353162039129,48.381474311981925,0.5952407889492943,25.221326393283537,0.028208127699553984,0.9125282163039393,-6.067648151337541,17.092499767360845
full_theta30_r1,30.0,1,ahead_plane,4625000000.0,None,0.6573496460914612,33.756717681884766,0.6616555765328309,42.83622727129073,0.5973283062115685,18.908995625117637,-0.05671087395914942,0.8316667571256204,-9.079508614652344,14.847723031520752
full_theta30_r1,30.0,1,ahead_plane,4750000000.0,None,0.6488548517227173,25.091066360473633,0.6637185053324391,37.30003194014481,0.598814284027931,12.602665053323767,-0.19672740288838303,0.697108099366487,-12.20896776620877,12.488399120612277
full_theta30_r1,30.0,1,ahead_plane,4875000000.0,None,0.6343564391136169,16.4290828704834,0.6652330114649637,31.77077268688775,0.5997038266394055,6.3003331073450415,-0.41280879777690616,0.4879306511278359,-15.341690264170499,10.128749315372207
full_theta30_r1,30.0,1,ahead_plane,5000000000.0,None,0.615671694278717,7.864202976226807,0.6662056491489341,26.246346624943193,0.5999999999999999,9.823393017948828e-15,-0.6851824759766416,0.22395873652502485,-18.382143936082368,7.86420268886081
