        f (GHz),               I_inc[1] (A),               Re{I[1]} (A),               Im{I[1]} (A),               Re{I[2]} (A),               Im{I[2]} (A)
 4.90000000e+00,        +1.414213562373e-01,        +1.001081683542e-01,        +4.503964081073e-02,        +3.611267090060e-02,        -2.625580529807e-02
 4.95000000e+00,        +1.414213562373e-01,        +1.007506173970e-01,        +4.407156451132e-02,        +3.594440999822e-02,        -2.730429619534e-02
 5.00000000e+00,        +1.414213562373e-01,        +1.013527939301e-01,        +4.312692832910e-02,        +3.574031295858e-02,        -2.831957574376e-02
 5.05000000e+00,        +1.414213562373e-01,        +1.019180458588e-01,        +4.220445067048e-02,        +3.550382023650e-02,        -2.930309725153e-02
 5.10000000e+00,        +1.414213562373e-01,        +1.024493186364e-01,        +4.130286278649e-02,        +3.523796509007e-02,        -3.025630030685e-02
 5.15000000e+00,        +1.414213562373e-01,        +1.029492053131e-01,        +4.042092392857e-02,        +3.494542374539e-02,        -3.118059552319e-02
 5.20000000e+00,        +1.414213562373e-01,        +1.034199899753e-01,        +3.955743189720e-02,        +3.462855895188e-02,        -3.207735389779e-02
 5.25000000e+00,        +1.414213562373e-01,        +1.038636854276e-01,        +3.871123010237e-02,        +3.428945777968e-02,        -3.294789966429e-02
 5.30000000e+00,        +1.414213562373e-01,        +1.042820658751e-01,        +3.788121199722e-02,        +3.392996441636e-02,        -3.379350577772e-02
 5.35000000e+00,        +1.414213562373e-01,        +1.046766952726e-01,        +3.706632354744e-02,        +3.355170863006e-02,        -3.461539136915e-02
 5.40000000e+00,        +1.414213562373e-01,        +1.050489519238e-01,        +3.626556424538e-02,        +3.315613048164e-02,        -3.541472066071e-02
 5.45000000e+00,        +1.414213562373e-01,        +1.054000498364e-01,        +3.547798705948e-02,        +3.274450179225e-02,        -3.619260295021e-02
 5.50000000e+00,        +1.414213562373e-01,        +1.057310572731e-01,        +3.470269761815e-02,        +3.231794480444e-02,        -3.695009336597e-02
 5.55000000e+00,        +1.414213562373e-01,        +1.060429128735e-01,        +3.393885285675e-02,        +3.187744841487e-02,        -3.768819416310e-02
 5.60000000e+00,        +1.414213562373e-01,        +1.063364396763e-01,        +3.318565930180e-02,        +3.142388230427e-02,        -3.840785638686e-02
 5.65000000e+00,        +1.414213562373e-01,        +1.066123573190e-01,        +3.244237112481e-02,        +3.095800924472e-02,        -3.910998177052e-02
 5.70000000e+00,        +1.414213562373e-01,        +1.068712926576e-01,        +3.170828806558e-02,        +3.048049582497e-02,        -3.979542476774e-02
 5.75000000e+00,        +1.414213562373e-01,        +1.071137890119e-01,        +3.098275330022e-02,        +2.999192180051e-02,        -4.046499464409e-02
 5.80000000e+00,        +1.414213562373e-01,        +1.073403142154e-01,        +3.026515130980e-02,        +2.949278824600e-02,        -4.111945757147e-02
 5.85000000e+00,        +1.414213562373e-01,        +1.075512676215e-01,        +2.955490579116e-02,        +2.898352466268e-02,        -4.175953868403e-02
 5.90000000e+00,        +1.414213562373e-01,        +1.077469861970e-01,        +2.885147764015e-02,        +2.846449517172e-02,        -4.238592406487e-02
 5.95000000e+00,        +1.414213562373e-01,        +1.079277498160e-01,        +2.815436302911e-02,        +2.793600390622e-02,        -4.299926264180e-02
 6.00000000e+00,        +1.414213562373e-01,        +1.080937858514e-01,        +2.746309159417e-02,        +2.739829969861e-02,        -4.360016797629e-02
 6.05000000e+00,        +1.414213562373e-01,        +1.082452731461e-01,        +2.677722474308e-02,        +2.685158014677e-02,        -4.418921993484e-02
 6.10000000e+00,        +1.414213562373e-01,        +1.083823454369e-01,        +2.609635409096e-02,        +2.629599513038e-02,        -4.476696623520e-02
 6.15000000e+00,        +1.414213562373e-01,        +1.085050942915e-01,        +2.542010002883e-02,        +2.573164983915e-02,        -4.533392386252e-02
 6.20000000e+00,        +1.414213562373e-01,        +1.086135716125e-01,        +2.474811042808e-02,        +2.515860736564e-02,        -4.589058035201e-02
 6.25000000e+00,        +1.414213562373e-01,        +1.087077917530e-01,        +2.408005948320e-02,        +2.457689090850e-02,        -4.643739493587e-02
 6.30000000e+00,        +1.414213562373e-01,        +1.087877332834e-01,        +2.341564669408e-02,        +2.398648562470e-02,        -4.697479955279e-02
 6.35000000e+00,        +1.414213562373e-01,        +1.088533404434e-01,        +2.275459598956e-02,        +2.338734016468e-02,        -4.750319971851e-02
 6.40000000e+00,        +1.414213562373e-01,        +1.089045243061e-01,        +2.209665499367e-02,        +2.277936791873e-02,        -4.802297525564e-02
 6.45000000e+00,        +1.414213562373e-01,        +1.089411636806e-01,        +2.144159443654e-02,        +2.216244799919e-02,        -4.853448088086e-02
 6.50000000e+00,        +1.414213562373e-01,        +1.089631057730e-01,        +2.078920771265e-02,        +2.153642597931e-02,        -4.903804664650e-02
 6.55000000e+00,        +1.414213562373e-01,        +1.089701666230e-01,        +2.013931058998e-02,        +2.090111440643e-02,        -4.953397823305e-02
 6.60000000e+00,        +1.414213562373e-01,        +1.089621313325e-01,        +1.949174107454e-02,        +2.025629310425e-02,        -5.002255708787e-02
 6.65000000e+00,        +1.414213562373e-01,        +1.089387540968e-01,        +1.884635943615e-02,        +1.960170927694e-02,        -5.050404040421e-02
 6.70000000e+00,        +1.414213562373e-01,        +1.088997580504e-01,        +1.820304840271e-02,        +1.893707742532e-02,        -5.097866093314e-02
 6.75000000e+00,        +1.414213562373e-01,        +1.088448349355e-01,        +1.756171353180e-02,        +1.826207908396e-02,        -5.144662661951e-02
 6.80000000e+00,        +1.414213562373e-01,        +1.087736445997e-01,        +1.692228377036e-02,        +1.757636238624e-02,        -5.190812005111e-02
 6.85000000e+00,        +1.414213562373e-01,        +1.086858143301e-01,        +1.628471221518e-02,        +1.687954146342e-02,        -5.236329770809e-02
 6.90000000e+00,        +1.414213562373e-01,        +1.085809380279e-01,        +1.564897708933e-02,        +1.617119568254e-02,        -5.281228899766e-02
 6.95000000e+00,        +1.414213562373e-01,        +1.084585752273e-01,        +1.501508295211e-02,        +1.545086872736e-02,        -5.325519505608e-02
 7.00000000e+00,        +1.414213562373e-01,        +1.083182499637e-01,        +1.438306216325e-02,        +1.471806752601e-02,        -5.369208729747e-02
