        f (GHz),             |S[1][1]| (dB),        arg(S[1][1]) (deg.),             |S[2][1]| (dB),        arg(S[2][1]) (deg.)
 5.60000000e+00,        -9.332568764543e+00,        +1.365935322652e+02,        -9.096319212800e+00,        -5.071124319799e+01
 5.65000000e+00,        -9.461202254665e+00,        +1.370154511554e+02,        -9.051815379312e+00,        -5.163617080875e+01
 5.70000000e+00,        -9.587805884036e+00,        +1.374558717923e+02,        -9.008830545284e+00,        -5.255042547568e+01
 5.75000000e+00,        -9.712376324948e+00,        +1.379151854835e+02,        -8.967213120995e+00,        -5.345482672359e+01
 5.80000000e+00,        -9.834896302547e+00,        +1.383938087722e+02,        -8.926824286497e+00,        -5.435014877395e+01
 5.85000000e+00,        -9.955334501093e+00,        +1.388921774680e+02,        -8.887536595778e+00,        -5.523712512366e+01
 5.90000000e+00,        -1.007364543956e+01,        +1.394107406323e+02,        -8.849232755791e+00,        -5.611645271101e+01
 5.95000000e+00,        -1.018976932298e+01,        +1.399499544271e+02,        -8.811804555662e+00,        -5.698879571716e+01
 6.00000000e+00,        -1.030363187724e+01,        +1.405102757448e+02,        -8.775151925290e+00,        -5.785478904594e+01
 6.05000000e+00,        -1.041514417667e+01,        +1.410921555405e+02,        -8.739182105777e+00,        -5.871504152020e+01
 6.10000000e+00,        -1.052420247494e+01,        +1.416960317986e+02,        -8.703808916808e+00,        -5.957013882844e+01
 6.15000000e+00,        -1.063068805166e+01,        +1.423223220713e+02,        -8.668952108343e+00,        -6.042064625239e+01
 6.20000000e+00,        -1.073446708862e+01,        +1.429714155389e+02,        -8.634536785865e+00,        -6.126711120245e+01
 6.25000000e+00,        -1.083539059106e+01,        +1.436436645502e+02,        -8.600492900010e+00,        -6.211006558571e+01
 6.30000000e+00,        -1.093329437148e+01,        +1.443393756175e+02,        -8.566754792718e+00,        -6.295002802846e+01
 6.35000000e+00,        -1.102799911455e+01,        +1.450587998538e+02,        -8.533260793203e+00,        -6.378750597347e+01
 6.40000000e+00,        -1.111931054346e+01,        +1.458021228611e+02,        -8.499952857982e+00,        -6.462299767018e+01
 6.45000000e+00,        -1.120701970915e+01,        +1.465694540978e+02,        -8.466776250036e+00,        -6.545699407476e+01
 6.50000000e+00,        -1.129090342445e+01,        +1.473608157798e+02,        -8.433679252880e+00,        -6.628998067547e+01
 6.55000000e+00,        -1.137072486573e+01,        +1.481761313963e+02,        -8.400612915938e+00,        -6.712243925790e+01
 6.60000000e+00,        -1.144623436398e+01,        +1.490152139523e+02,        -8.367530828139e+00,        -6.795484962355e+01
 6.65000000e+00,        -1.151717040627e+01,        +1.498777540821e+02,        -8.334388917137e+00,        -6.878769127469e+01
 6.70000000e+00,        -1.158326086610e+01,        +1.507633082122e+02,        -8.301145271949e+00,        -6.962144507780e+01
 6.75000000e+00,        -1.164422447810e+01,        +1.516712869852e+02,        -8.267759987208e+00,        -7.045659491729e+01
 6.80000000e+00,        -1.169977256766e+01,        +1.526009441894e+02,        -8.234195027511e+00,        -7.129362935128e+01
 6.85000000e+00,        -1.174961104057e+01,        +1.535513664678e+02,        -8.200414110723e+00,        -7.213304328056e+01
 6.90000000e+00,        -1.179344263022e+01,        +1.545214641039e+02,        -8.166382609303e+00,        -7.297533964217e+01
 6.95000000e+00,        -1.183096939186e+01,        +1.555099631957e+02,        -8.132067469063e+00,        -7.382103113892e+01
 7.00000000e+00,        -1.186189542376e+01,        +1.565153995357e+02,        -8.097437144990e+00,        -7.467064201626e+01
